numero_dpe,date_etablissement_dpe,etiquette_dpe,etiquette_ges,type_batiment,annee_construction,type_installation_chauffage,hauteur_sous_plafond,surface_habitable_logement,code_postal_ban,code_departement_ban,coordonnee_cartographique_x_ban,coordonnee_cartographique_y_ban,nom_commune_ban,besoin_chauffage
2601E0017463X,2026-01-05,D,B,appartement,,individuel,2.5,40.1,1480,1,835515.39,6546008.46,Beauregard,2604
2301E3919216F,2023-11-17,E,E,appartement,,collectif,2.5,54.3,1000,1,871080.27,6570204.64,Bourg-en-Bresse,7456.3
2301E0551411G,2023-02-20,D,B,appartement,,individuel,3.1,45,1300,1,908904.79,6521160.34,Belley,3617.4
2601E0024697D,2026-01-06,C,C,appartement,2006,collectif,2.5,53.6,1500,1,881426.42,6542219.17,Ambérieu-en-Bugey,2545.5
2101E0595597Q,2021-10-29,C,A,appartement,2006,individuel,2.5,57,1700,1,855177.59,6528069.61,Beynost,2202.3
2201E1942975X,2022-08-30,D,D,appartement,2005,individuel,2.5,50.7,1000,1,871138.65,6568825.14,Bourg-en-Bresse,5454.5
2301E1556223W,2023-05-11,E,B,appartement,,individuel,2.5,50,1300,1,908630.06,6521457.89,Belley,5153.3
2301E0153185W,2023-01-18,E,E,appartement,,individuel,2.5,59,1540,1,853634.27,6570430.49,Vonnas,9739.3
2401E2128761P,2024-06-14,D,D,appartement,,individuel,2.5,82.2,1210,1,938998.12,6577454.53,Ferney-Voltaire,6532.4
2401E4531833L,2024-12-21,D,B,appartement,,individuel,2.4,34.4,1400,1,851188.76,6559531.42,Châtillon-sur-Chalaronne,2425
2601E0041584Q,2026-01-08,D,D,appartement,1982,individuel,2.5,47,1800,1,870188.97,6536445.33,Meximieux,4325.3
2401E3757411Z,2024-10-25,E,E,appartement,,collectif,2.5,31.7,1210,1,939087.52,6577406.15,Ferney-Voltaire,5021.4
2401E1052296C,2024-03-23,E,E,maison,,,2.6,305.6,1200,1,913088.51,6552704.46,Injoux-Génissiat,40050.2
2401E1127410C,2024-03-28,F,E,appartement,1965,collectif,2.5,40.9,1120,1,859714.2,6529971.7,Montluel,7413.8
2501E2608819K,2025-08-12,C,B,maison,2009,,2.5,103.6,1150,1,876928.33,6526233.27,Saint-Vulbas,6431
2601E0068035Z,2026-01-11,D,D,appartement,,collectif,2.5,81,1410,1,917268.27,6569796.96,Champfromier,3178.8
2601E0042029T,2026-01-08,D,B,maison,,,2.5,77.6,1450,1,890370.46,6556499.86,Cerdon,6629.5
2601E0067716S,2026-01-11,D,B,appartement,,individuel,2.2,29.8,1400,1,851180.24,6560011.76,Châtillon-sur-Chalaronne,2063.3
2501E3769463O,2025-12-01,D,B,maison,2001,,2.7,187.6,1170,1,936107.75,6585063.76,Cessy,21273.1
2501E0605136R,2025-02-22,C,C,appartement,2015,individuel,2.5,50,1630,1,933362.04,6576759.55,Saint-Genis-Pouilly,1995.3
2501E0718441O,2025-03-03,E,C,appartement,,individuel,2.7,47.9,1200,1,918104.86,6560500.39,Valserhône,5980.1
2601E0050792U,2026-01-08,D,D,appartement,1982,individuel,2.5,94,1800,1,870188.97,6536445.33,Meximieux,6640.2
2401E4272690K,2024-12-03,E,E,appartement,,individuel,2.5,61.5,1600,1,838062.5,6539337.45,Trévoux,9451.2
2301E3960194H,2023-11-21,D,B,appartement,1900,individuel,3.4,38.4,1000,1,871929.64,6569742.2,Bourg-en-Bresse,3114.9
2201E0018980C,2022-01-05,C,B,maison,1989,,2.5,120,1250,1,888618.2,6570283.56,Cize,10135.1
2301E2311668L,2023-06-27,D,D,appartement,2017,collectif,2.5,83.6,1280,1,937013.01,6576698.09,Prévessin-Moëns,10271.9
2401E0544253Z,2024-02-15,A,A,maison,,,2.4,140,1390,1,844614.98,6543105.24,Rancé,8994.6
2501E3287828D,2025-10-17,D,B,appartement,,individuel,2.6,36,1090,1,835792.1,6554920.16,Montmerle-sur-Saône,3036.3
2201E1023800A,2022-05-11,D,B,appartement,1996,individuel,2.5,95.4,1210,1,938641.85,6577079.89,Ferney-Voltaire,7952.6
2501E0781971A,2025-03-07,C,B,maison,2007,,2.4,112.4,1630,1,933676.25,6576094.7,Saint-Genis-Pouilly,8905.2
2601E0041590W,2026-01-08,E,E,appartement,1982,individuel,2.5,47,1800,1,870188.97,6536445.33,Meximieux,3114.2
2301E2923452P,2023-09-04,C,C,appartement,,collectif,2.5,74.5,1170,1,935793.52,6586736.71,Gex,3523.8
2601E0050849Z,2026-01-08,C,C,appartement,1982,individuel,2.5,76,1800,1,870188.97,6536445.33,Meximieux,4192
2201E3107151X,2022-12-14,D,D,maison,1975,,2.5,108,1170,1,936182.19,6581765.34,Ségny,21255
2601E0028802A,2026-01-06,B,A,maison,,,2.5,81,1700,1,855229.78,6528314.65,Beynost,14118.9
2401E4560276K,2024-12-24,E,C,appartement,,individuel,2.6,67.6,1510,1,905766.96,6531098.03,Virieu-le-Grand,8912.9
2501E0181237W,2025-01-20,E,B,maison,1985,,2.4,95.5,1230,1,893180.8,6540171.2,Argis,12513.5
2301E1846688P,2023-06-05,D,B,maison,,,2.5,103.2,1160,1,877318.91,6547414.09,Priay,10588.2
2401E3222390G,2024-09-17,C,A,appartement,2012,collectif,2.5,61.5,1170,1,933400.86,6583327.51,Échenevex,2612.7
2301E0055158P,2023-01-09,E,E,appartement,,collectif,2.5,59,1000,1,871583.83,6570935.38,Bourg-en-Bresse,5945.7
2301E2111660V,2023-06-07,C,C,appartement,2015,collectif,2.5,68.5,1280,1,937192.73,6576765.23,Prévessin-Moëns,5379.6
2501E1454439E,2025-04-29,E,B,appartement,,individuel,2.5,42.2,1200,1,918075.68,6560350.44,Valserhône,4022.3
2101E0719083C,2021-11-18,F,C,appartement,1947,individuel,2.8,41,1200,1,917412.32,6559363.55,Valserhône,7549.4
2201E1113347D,2022-05-20,D,B,appartement,,individuel,3.1,40.9,1000,1,871693.41,6569675.2,Bourg-en-Bresse,3111
2601E0064059B,2026-01-09,C,C,appartement,,individuel,2.5,65.7,1500,1,878496.64,6544124.46,Château-Gaillard,19662.6
2201E1371172M,2022-06-20,G,E,appartement,,collectif,2.5,10,1000,1,871710.79,6570100.97,Bourg-en-Bresse,1511.2
2601E0048745B,2026-01-08,D,D,appartement,1982,individuel,2.5,62,1800,1,870188.97,6536445.33,Meximieux,5777.7
2301E0904654N,2023-03-19,D,D,appartement,1900,individuel,2.2,54.6,1220,1,941657.52,6589202.54,Divonne-les-Bains,6788.4
2201E1238878G,2022-06-06,G,C,appartement,1900,individuel,2.6,75,1200,1,914659.37,6560200.51,Valserhône,17722.5
2301E2939724L,2023-09-05,E,C,appartement,1900,individuel,2.5,49,1700,1,855648.43,6528202.41,Beynost,6292.7
2301E2428386P,2023-07-19,F,F,appartement,,collectif,2.5,37.3,1630,1,932316,6575548.7,Saint-Genis-Pouilly,3983.1
2601E0057384I,2026-01-09,E,E,appartement,1976,collectif,2.5,47,1100,1,906165.92,6580363.41,Arbent,5771.9
2601E0038653X,2026-01-07,G,C,maison,,,2.8,49.5,1240,1,869219.47,6559881.3,Lent,17667.4
2501E3847097M,2025-12-08,E,B,appartement,1959,individuel,2.5,71.5,1100,1,904763.89,6575903.39,Oyonnax,8542.7
2201E3138666A,2022-12-14,C,C,appartement,2010,collectif,2.5,86.1,1210,1,940158.98,6577734.35,Ferney-Voltaire,4321.5
2301E0862417A,2023-03-15,D,B,appartement,2009,individuel,2.5,40,1170,1,935200.11,6587029.2,Gex,2726.3
2501E0156703G,2025-01-16,G,G,appartement,1978,collectif,2.5,73.3,1210,1,939013.68,6577197.97,Ferney-Voltaire,11900.8
2301E0951541W,2023-03-22,E,B,appartement,,individuel,2.4,43.5,1400,1,851179,6559504.52,Châtillon-sur-Chalaronne,4475.1
2501E3919813G,2025-12-15,C,B,appartement,,individuel,2.5,66,1200,1,915309.99,6563666.73,Valserhône,3276
2401E4172396Y,2024-11-26,D,D,appartement,,individuel,2.3,87.4,1960,1,865572.28,6564147.95,Saint-André-sur-Vieux-Jonc,10626.8
2601E0033162S,2026-01-07,E,C,appartement,,individuel,2.6,67.2,1250,1,886798.67,6576593.26,Nivigne et Suran,9064.4
2401E0708917F,2024-02-27,C,C,appartement,2016,collectif,2.5,42,1280,1,937013.01,6576698.09,Prévessin-Moëns,503.9
2301E1346673G,2023-04-24,D,B,appartement,1991,individuel,2.5,82,1120,1,858952.47,6529721.71,Montluel,5694.7
2601E0041768S,2026-01-08,G,C,appartement,,individuel,2.7,83.4,1200,1,917832.99,6560419.66,Valserhône,14116.1
2301E0415465O,2023-02-08,D,D,appartement,1960,collectif,2.5,83,1700,1,850827.64,6526345.83,Miribel,10986.1
2301E4324509K,2023-12-14,C,C,appartement,2014,collectif,2.5,86.4,1210,1,938370.23,6577492.78,Ferney-Voltaire,2015.7
2401E2905447D,2024-08-19,C,A,maison,,,2.5,106.2,1600,1,840094.81,6540436.7,Misérieux,5533.6
2401E0654760G,2024-02-22,C,C,appartement,2011,collectif,2.5,41.2,1000,1,873667.83,6569370.72,Bourg-en-Bresse,782.8
2601E0044412K,2026-01-08,C,B,appartement,1949,individuel,2.3,43.4,1190,1,846880.3,6591405.56,Boz,2433.4
2401E0654847P,2024-02-22,D,B,appartement,,individuel,2.5,87.7,1280,1,937059.78,6577108.01,Prévessin-Moëns,8344.2
2109E0884978Z,2021-12-09,D,B,appartement,1947,individuel,2.5,44.7,1000,1,871341.19,6569407.43,Bourg-en-Bresse,3977.8
2501E3029541A,2025-09-24,E,E,maison,,,2.5,200.3,1090,1,836808.25,6554724.93,Francheleins,41347
2301E1717784T,2023-05-25,D,B,appartement,,individuel,2.5,20.9,1000,1,870701.08,6569542.86,Bourg-en-Bresse,1690.2
2401E0747722S,2024-02-29,C,C,appartement,,individuel,2.5,73.9,1000,1,870806.51,6568638.95,Bourg-en-Bresse,5397.9
2201E3025601J,2022-12-13,D,D,maison,,,2.5,110,1280,1,938030.17,6577348.98,Prévessin-Moëns,11600.5
2501E2898802P,2025-09-10,D,B,appartement,1900,individuel,2.5,67.9,1330,1,847222.41,6546081.51,Ambérieux-en-Dombes,6598.4
2501E2592462H,2025-08-11,A,A,maison,2020,,2.5,106,1600,1,841759.19,6536132.26,Massieux,6974.6
2501E3417458X,2025-10-29,G,C,maison,,,2.4,63,1260,1,907577.52,6537436.19,Champagne-en-Valromey,16239.8
2301E2696799E,2023-08-10,D,D,appartement,,collectif,2.5,40.8,1170,1,935555.47,6586402.84,Gex,1253
2401E4406231P,2024-12-12,D,B,appartement,2010,individuel,2.5,55.9,1630,1,932752.6,6576004.15,Saint-Genis-Pouilly,3395.9
2301E1023943O,2023-03-28,D,B,maison,1984,,2.5,145,1170,1,936623.76,6584283.77,Cessy,16994.1
2201E0299424K,2022-02-15,C,C,maison,1947,,2.8,136.3,1190,1,848823.1,6594293.22,Pont-de-Vaux,12765.8
2601E0050170W,2026-01-08,E,E,appartement,1982,individuel,2.5,40,1800,1,870188.97,6536445.33,Meximieux,4878
2301E1053050B,2023-03-27,G,F,appartement,1978,collectif,2.5,47.4,1210,1,939125.55,6577186.14,Ferney-Voltaire,10303.5
2501E3166174D,2025-10-07,E,E,maison,1980,,2.5,119.3,1220,1,938990.57,6583289.77,Sauverny,19151.3
2501E2767818T,2025-09-02,D,D,appartement,2006,individuel,2.5,43,1500,1,882834.38,6541888.59,Ambérieu-en-Bugey,2736.8
2301E3921357O,2023-11-17,F,F,appartement,,individuel,2.5,96.9,1160,1,881169.42,6553136.15,Pont-d'Ain,24464.9
2501E2889825I,2025-09-12,C,A,maison,,,2.5,133.2,1560,1,863896.07,6591638.4,Lescheroux,12101.3
2201E1568273H,2022-07-08,D,B,appartement,2010,individuel,2.5,49.8,1210,1,938953.42,6577487.45,Ferney-Voltaire,4721.5
2201E1138223X,2022-05-23,E,B,maison,1989,,2.5,96,1210,1,938745.94,6577374.16,Ferney-Voltaire,11259.1
2301E1865117K,2023-06-06,C,C,maison,,,2.5,90.6,1800,1,869802.27,6537817.47,Meximieux,8818.6
2201E3168036Q,2022-12-28,D,B,appartement,1949,individuel,2.6,43,1420,1,919205.33,6543913.23,Seyssel,3086.2
2501E3219927O,2025-10-10,D,B,maison,1983,,2.5,98.6,1290,1,848382.53,6572045.2,Biziat,11151.6
2601E0040881P,2026-01-07,D,D,maison,,,2.5,99.8,1150,1,881959.01,6534899.65,Lagnieu,7865.1
2401E2758479N,2024-07-31,G,C,maison,,,2.5,105.1,1160,1,879194.47,6553880.31,Druillat,20728.1
2501E0184254X,2025-01-20,E,C,appartement,1982,individuel,2.3,35,1410,1,930232.08,6589571.01,Mijoux,5726.4
2501E1334313Y,2025-04-18,C,B,appartement,,individuel,2.4,24.9,1000,1,871765.89,6569711.69,Bourg-en-Bresse,1532
2301E0113488B,2023-01-13,E,D,appartement,1960,collectif,2.5,59.4,1700,1,852900.67,6527191.89,Miribel,6307.7
2601E0048397R,2026-01-08,D,D,appartement,1982,individuel,2.5,44,1800,1,870188.97,6536445.33,Meximieux,3217.5
2601E0041566Y,2026-01-08,D,D,appartement,1982,individuel,2.5,74,1800,1,870188.97,6536445.33,Meximieux,4649
2401E0006697T,2024-01-02,C,C,appartement,,collectif,2.5,41.6,1170,1,934924.61,6585007.19,Gex,453.4
2501E0230123C,2025-01-22,F,F,appartement,,individuel,2.7,132,1200,1,915945.09,6564135.81,Valserhône,26518.4
